formura0(no TGV), formura0(TGV), formura0(TGV-if), Halide(no compute_root), Halide(compute_root), Physis(1), Physis(2)
319009.031985,33805.121261,91993.808619,488073,50059.8,369650.878417,128035.022187,
316823.237309,33645.190200,92149.448128,486203,50077.3,368981.943127,127337.470746,
316840.616885,33426.543076,91829.058936,490902,49911.9,369068.673610,127373.875756,
316879.403781,33633.226352,91638.322887,472383,50132.8,369511.977253,126714.267108,
316728.399108,33644.060301,92732.094949,483846,49976.4,369725.684054,127575.380445,
316539.425581,33565.961642,92476.625899,487115,50638.3,369823.451068,127258.927818,
