formura0(no TGV), formura0(TGV blocking no), formura0(TGV-if blocking no), formura0(TGV blocking 100*100), formura0(TGV blocking 125),formura0(TGV blocking 250), formura0(TGV blocking 500), Physis(1), Physis(2)
393906.602623,72200.369000,98033.090616,70169.012061,65930.530219,68217.081761,66632.328345,383516.935677,154255.999036,
392652.551400,72633.550103,97826.363119,69806.910937,65494.480850,68078.230329,66733.084374,383216.435738,154369.909397,
393401.317882,72143.257936,97949.909685,69959.714915,65660.186541,68150.903885,66612.064003,383269.262736,154142.274230,
392992.104322,72206.198673,98034.014773,69970.436372,65362.111341,67915.846214,66403.359951,383700.274826,154308.509054,
393361.517819,72597.311109,97878.703553,69519.865512,65441.455743,67849.002924,66519.333620,383580.684164,154015.718565,
392858.405565,72193.788345,97675.481200,69938.331648,65464.102508,67854.231240,66680.052365,382558.131763,153695.761628,
