formura0(no TGV), formura0(TGV), formura0(TGV-if), Physis(1), Physis(2)
324982.234275,50045.615419,82878.757056,384398.267281,129718.723244,
323218.611616,49794.619663,82857.206883,382180.903131,129604.795573,
323895.335881,49820.358378,82509.733131,383372.284803,130181.386252,
323890.163878,49966.208800,83071.107366,383706.942964,130505.343642,
323844.178759,49755.873526,82755.789568,383344.411052,130040.925670,
323155.800183,49782.705064,82703.395988,381954.821787,129556.090419,
