formura0(no TGV), formura0(TGV blocking no), formura0(TGV-if blocking no), formura0(TGV blocking 100*100), formura0(TGV blocking 125),formura0(TGV blocking 250), formura0(TGV blocking 500), Halide(no compute_root), Halide(compute_root), Physis(1), Physis(2)
417198.571346,47559.243711,122384.355844,54675.737558,52763.947717,49350.240751,46916.791464,169756,50665.1,475599.182268,159127.123827,
415366.799592,47272.167063,121603.573622,54448.812368,52300.662134,49193.421057,46594.872565,185885,47414.6,474146.833607,158546.982720,
416443.107325,47310.508253,121599.379157,54478.049450,52424.064507,49288.399935,46795.897216,187261,47785.4,475058.243314,158524.848170,
416444.661590,47322.640943,121678.877756,54501.453494,52391.855117,49119.436026,46727.528140,199653,49967.1,474315.907304,158624.224861,
415590.145811,47062.968175,121079.691225,54246.409083,52233.001873,49291.009104,46520.455976,188869,47280.7,473651.716375,157883.909898,
415045.687092,47185.109242,121044.633353,54107.408251,52198.240141,49006.129218,46505.195087,189561,47067.4,473212.465971,158322.393314,
